,address,postcode,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,price,predicted_price
411788,"5823 Arrowhead Dr, Granbury, TX 76048",76048.0,32.513985,-97.84744,4,3,144,1530,185000,366235
417608,"7450 Holly Hill Dr APT 100, Dallas, TX 75231",75231.0,32.878082,-96.755615,3,4,117,1604,159000,800799
369140,"25806 Balsamwood Dr, Tomball, TX 77375",77375.0,30.136208,-95.585754,6,4,160,3082,455000,941567
168060,"4501 Sunrise Ave, Las Vegas, NV 89110",89110.0,36.163143,-115.07721,4,3,270,1546,349950,635592
426568,"1471 Barrel Dr, Dallas, TX 75253",75253.0,32.671883,-96.586716,4,3,222,1854,357000,465750
106120,"1200 Sherman Street, Tulare, CA 93274",93274.0,36.194283,-119.31938,4,4,225,2154,429000,1217935
115835,"5952 Cerulean Ave, Garden Grove, CA 92845",92845.0,33.778385,-118.02873,6,3,539,2252,1080888,676346
189041,"10747 Stonebrook Pl NW, Albuquerque, NM 87114",87114.0,35.213055,-106.692085,6,5,138,2930,370000,1365368
391910,"298 County Road 407 Rd, San Saba, TX 76877",76877.0,31.010605,-98.70836,3,3,295,2450,650000,854328
391483,"2941 Canyon Creek Dr, San Angelo, TX 76904",76904.0,31.416603,-100.48606,4,3,135,2018,239500,557568
283947,"17151 Lark Water Lane  Unit D, Parker, CO 80134",80134.0,39.553123,-104.78988,4,4,295,1806,459170,828589
350008,"Elgin Plan, The Cove at Taylor Landing",77705.0,29.87204,-94.13087,5,3,175,1864,283990,375586
34922,"1769 SW Forest Ridge Ave, Bend, OR 97702",97702.0,44.047997,-121.33899,5,4,466,2490,1045000,1283931
140134,"1648 Hibiscus Ct, Beaumont, CA 92223",92223.0,33.955425,-117.0115,3,3,279,1642,389000,875889
353005,"11811 Champions Forest Dr, Dayton, TX 77535",77535.0,29.870588,-94.88017,5,5,173,3624,584708,1562773
278441,"435 N 35th Ave UNIT 332, Greeley, CO 80631",80631.0,40.43845,-104.74118,5,3,51,1818,80000,418239
313421,"8202 Moon Rise Trl, Jonestown, TX 78645",78645.0,30.46279,-97.93144,4,4,373,2387,799000,1005760
488277,"8950 Sage Meadow Dr, Denham Springs, LA 70726",70726.0,30.517256,-90.96346,4,3,144,1909,239230,393991
40999,"1040 NW 12th St APT B, Pendleton, OR 97801",97801.0,45.68137,-118.796165,4,4,122,3503,399900,1790459
582289,"211 N Green St UNIT 2, Chicago, IL 60607",60607.0,41.886166,-87.64831,4,5,752,4900,3500000,1819424
259724,"1135 Mountain Meadow Ave, Pinedale, WY 82941",82941.0,42.875877,-109.87548,5,3,303,2143,575000,580784
321226,"1722 Nobis Ave, Edinburg, TX 78542",78542.0,26.275887,-98.14804,5,3,129,1675,185000,325070
274183,"4521 Devereux Dr, Windsor, CO 80550",80550.0,40.526855,-104.9315,6,4,225,3284,685045,1077700
155043,"3938 Brunswick Ave, Los Angeles, CA 90039",90039.0,34.123753,-118.26498,4,3,869,1573,1150000,663973
391367,"901 Evergreen Dr, Killeen, TX 76541",76541.0,31.110706,-97.73607,4,2,95,1091,80000,61830
157336,"13110 Seaview Ln #245-G, Seal Beach, CA 90740",90740.0,33.7724,-118.08699,4,3,487,1450,585000,634252
161811,"304 S Maple Dr, Beverly Hills, CA 90212",90212.0,34.061886,-118.392525,7,9,1188,6350,7250000,3630246
548918,"21 Jacqueline Cir, O'Fallon, MO 63368",63368.0,38.76,-90.697495,3,3,235,1099,200000,99792
185008,"40 Gold Hill Rd, Lordsburg, NM 88045",88045.0,32.35262,-108.67749,4,3,85,2010,150000,779591
518993,"16629 S Lichtenauer Dr, Olathe, KS 66062",66062.0,38.827084,-94.774086,6,5,255,3031,711000,976467
427587,"8909 Eden Valley Ln, Dallas, TX 75217",75217.0,32.72559,-96.66654,5,3,205,1953,350000,357111
219392,"1793 E San Carlos Pl, Chandler, AZ 85249",85249.0,33.234814,-111.80989,7,5,249,3655,850000,1443088
36331,"5000 Butte Falls Hwy, Eagle Point, OR 97524",97524.0,42.539326,-122.7206,3,3,443,2476,988000,1280351
394800,"5346 Northview Dr, Wichita Falls, TX 76306",76306.0,33.981384,-98.5232,4,3,131,1615,179500,401760
477174,"441 Winchester Rd, Monticello, AR 71655",71655.0,33.63353,-91.77459,3,2,19,1218,19000,28067
54804,"383 Kalaimoku St #2012, Honolulu, HI 96815",96815.0,21.282639,-157.83038,1,2,2120,650,848000,619766
57699,"94-809 Waipahu St, Waipahu, HI 96797",96797.0,21.385296,-158.00873,6,4,525,2722,1299000,1205189
290037,"3184 E 106th Avenue, Northglenn, CO 80233",80233.0,39.888107,-104.950745,4,4,237,2064,430000,922608
86501,"3418 Schooner Dr, Stockton, CA 95219",95219.0,38.01415,-121.36003,4,4,282,2162,540000,1260047
184937,"440 Sunset St, Santa Fe, NM 87501",87501.0,35.69225,-105.93309,3,2,663,1433,785000,424595
109084,"9705 Richland Hills Ln, Bakersfield, CA 93306",93306.0,35.407043,-118.89587,4,4,173,2412,375000,1310602
279701,"2642 Heron Lakes Pkwy, Berthoud, CO 80513",80537.0,40.336452,-105.1109,5,6,340,4950,1600000,2377751
473984,"151 Lacroix Rd, Pineville, LA 71360",71360.0,31.377989,-92.47151,3,3,59,1140,53000,275731
371936,"Alabaster II Plan, The Highlands : Brookstone Collection",77365.0,30.1519,-95.3219,5,5,149,3091,425999,1369236
68465,"10871 Portico Cir, Rancho Cordova, CA 95670",95670.0,38.5718,-121.281,4,4,356,1792,549999,1137182
268663,"211 Ridgmar Sq, Canon City, CO 81212",81212.0,38.44249,-105.19738,4,3,246,2274,499900,735831
19048,"750 US HWY 101, Hoquiam, WA 98550",98550.0,46.987015,-123.88575,4,3,160,3914,589500,1670731
497764,"1325 Nunez St, New Orleans, LA 70114",70114.0,29.942085,-90.05076,7,5,190,3194,560000,973170
